;id;en;full_ssp_name;lat;lng;type;time;date;file
159;109117;Crested Bobwhite;Colinus_cristatus_;10.0339;-69.5648;Alarm cal when taking flight;9-10;2011-03-18;https://www.xeno-canto.org/109117/download
160;22845;Crested Bobwhite;Colinus_cristatus_;8.51667;-67.78333;?;?;2008-08-09;https://www.xeno-canto.org/22845/download
161;226861;Marbled Wood Quail;Odontophorus_gujanensis_;7.25;-65.0;song;18:00;1997-03-25;https://www.xeno-canto.org/226861/download
162;226858;Marbled Wood Quail;Odontophorus_gujanensis_;5.0;-66.3833333333;duet;?;1993-11-15;https://www.xeno-canto.org/226858/download
163;637539;Venezuelan Wood Quail;Odontophorus_columbianus_;10.5285;-66.8762;song;10:00;2021-02-16;https://www.xeno-canto.org/637539/download
164;203249;Venezuelan Wood Quail;Odontophorus_columbianus_;10.3489;-67.6844;song;?;2009-02-26;https://www.xeno-canto.org/203249/download
165;20091;Venezuelan Wood Quail;Odontophorus_columbianus_;10.417;-67.633;song;7:00;2006-11-17;https://www.xeno-canto.org/20091/download
166;225378;Venezuelan Wood Quail;Odontophorus_columbianus_;10.3476;-67.7379;alarm call;00:00;2010-07-01;https://www.xeno-canto.org/225378/download
167;105285;Red Junglefowl;Gallus_gallus_domesticus;8.8526;-70.5806;song;5-30;2011-03-01;https://www.xeno-canto.org/105285/download
168;9929;Least Grebe;Tachybaptus_dominicus_;11.9167;-69.9667;duet, song;10:00;2006-12-18;https://www.xeno-canto.org/9929/download
169;230428;Least Grebe;Tachybaptus_dominicus_;10.5166666667;-68.3666666667;call;07:30;1996-07-27;https://www.xeno-canto.org/230428/download
170;230427;Least Grebe;Tachybaptus_dominicus_;9.7166666667;-69.5833333333;rattle call;?;1993-05-15;https://www.xeno-canto.org/230427/download
171;227745;American Flamingo;Phoenicopterus_ruber_;11.0;-68.4;call;?;1993-04-25;https://www.xeno-canto.org/227745/download
172;227744;American Flamingo;Phoenicopterus_ruber_;11.0;-68.4;call;?;1993-04-24;https://www.xeno-canto.org/227744/download
173;246908;Buff-necked Ibis;Theristicus_caudatus_;7.3682;-69.4407;song;00:00;2008-04-30;https://www.xeno-canto.org/246908/download
174;246907;Buff-necked Ibis;Theristicus_caudatus_;7.3682;-69.4407;song;00:00;2010-02-01;https://www.xeno-canto.org/246907/download
